time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447400000	19.7084	8.89246	4.68323	1.15326	0.380835	lidar	0.635481	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.768	9.1407	4.66884	1.19587	0.41261	radar	0.699126	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.8678	9.35598	4.67179	1.21137	0.407863	lidar	0.662773	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.8948	9.59811	4.62336	1.26287	0.452645	radar	1.3093	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	19.9712	9.82137	4.62939	1.2834	0.450665	lidar	0.295509	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	19.9985	10.1536	4.81723	1.3229	0.446873	radar	6.90461	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.0578	10.3938	4.82629	1.34542	0.446927	lidar	0.121445	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.0505	10.6523	4.80365	1.3997	0.491034	radar	1.55136	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.1034	10.8896	4.8068	1.41993	0.487086	lidar	0.604153	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.1062	11.2091	4.94244	1.45524	0.481962	radar	4.1874	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.1553	11.4229	4.90261	1.46802	0.472563	lidar	0.251941	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.0433	11.7268	4.88689	1.56722	0.57928	radar	7.36268	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.0952	11.9231	4.82277	1.57487	0.56162	lidar	1.98271	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.1463	12.1291	4.8473	1.55053	0.470764	radar	3.7689	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.1551	12.3779	4.85637	1.57268	0.469397	lidar	0.303229	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.099	12.614	4.78821	1.63245	0.533222	radar	2.00426	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.1177	12.8271	4.74915	1.64665	0.523211	lidar	1.07617	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.154	13.0124	4.66901	1.65363	0.509236	radar	2.98559	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.1431	13.2277	4.64418	1.67468	0.505884	lidar	0.0512543	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.1042	13.4622	4.66334	1.6989	0.498053	radar	0.477328	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.0813	13.7033	4.67596	1.72149	0.49592	lidar	0.655982	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.0461	13.9079	4.61899	1.75387	0.517381	radar	0.749586	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	19.9973	14.1553	4.64913	1.78149	0.51849	lidar	0.346376	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	19.9246	14.3821	4.65558	1.81349	0.523983	radar	0.501197	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.8434	14.638	4.70531	1.84644	0.529044	lidar	0.184655	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8082	14.8103	4.63236	1.8558	0.504433	radar	2.03415	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.7564	15.0346	4.63065	1.87654	0.500741	lidar	0.693218	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.627	15.2513	4.57311	1.96727	0.632527	radar	9.16098	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.5694	15.4439	4.53542	1.98977	0.625434	lidar	0.935148	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5138	15.616	4.47551	2.00465	0.60319	radar	0.997117	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4079	15.8391	4.509	2.03634	0.603808	lidar	0.245416	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3215	16.0373	4.50805	2.04441	0.558811	radar	1.12448	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2154	16.2391	4.51229	2.07226	0.558642	lidar	0.0111981	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1163	16.4269	4.49144	2.10215	0.567874	radar	0.408505	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	18.9829	16.6474	4.53923	2.13281	0.568745	lidar	0.281404	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8121	16.8801	4.6124	2.20575	0.660262	radar	8.17662	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6405	17.1088	4.69179	2.24258	0.661677	lidar	0.595142	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5865	17.283	4.59495	2.20988	0.540246	radar	5.48258	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3991	17.5028	4.67647	2.24403	0.543848	lidar	0.711324	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2749	17.6822	4.6585	2.24795	0.496477	radar	1.18444	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1226	17.8782	4.68184	2.27175	0.495164	lidar	0.254281	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9636	18.0065	4.62571	2.32229	0.547414	radar	1.91378	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8122	18.1709	4.61579	2.34804	0.546326	lidar	0.0730064	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.7337	18.3372	4.54415	2.35102	0.518829	radar	6.81477	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.5318	18.5356	4.62416	2.37965	0.519477	lidar	0.416714	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.3739	18.6491	4.56819	2.41909	0.546907	radar	1.35005	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1905	18.8098	4.59097	2.44655	0.546611	lidar	0.0476507	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	17.0227	19.0089	4.63633	2.45808	0.524679	radar	3.48894	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.8132	19.1619	4.67308	2.48799	0.526916	lidar	0.501928	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5973	19.3526	4.76164	2.51858	0.542153	radar	3.39965	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3695	19.5159	4.8225	2.54664	0.541787	lidar	0.238902	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.1616	19.5447	4.73805	2.60579	0.589574	radar	10.0122	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.936	19.6874	4.78343	2.63393	0.587669	lidar	0.255782	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7852	19.785	4.6647	2.6337	0.525168	radar	3.02316	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
